topic,qos,tagMode,deviceId,field,dataType,monitoring
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-01-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-01-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-01-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-02-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-02-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-02-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-03-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-03-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-03-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-04-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-04-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-04-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-05-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-05-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-05-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-06-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-06-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-06-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-07-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-07-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-07-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-08-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-08-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-08-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-09-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-09-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-09-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-10-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-10-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-10-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-11-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-11-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-11-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-12-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-12-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-12-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-13-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-13-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-13-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-14-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-14-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-14-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-15-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-15-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-15-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-16-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-16-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-16-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-17-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-17-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-17-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-18-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-18-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-18-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-19-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-19-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-19-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-20-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-20-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-20-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-21-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-21-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-21-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-22-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-22-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-22-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-23-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-23-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-23-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-24-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-24-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-24-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-25-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay3/artifact,1,raw,LDR-GJ-A1B3-25-TRANSFORMATION_MATRIX,raw_payload,STRING,true
