topic,qos,tagMode,deviceId,field,dataType,monitoring
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-01-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-01-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-01-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-02-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-02-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-02-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-03-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-03-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-03-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-04-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-04-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-04-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-05-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-05-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-05-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay2/artifact,1,raw,LDR-GJ-A1B2-06-REGISTERED_PCD,raw_payload,STRING,true
