topic,qos,tagMode,deviceId,field,dataType,monitoring
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-01-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-01-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-01-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-02-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-02-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-02-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-03-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-03-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-03-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-04-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-04-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-04-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-05-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-05-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-05-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-06-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/outfitting/outfitting1/bay1/artifact,1,raw,LDR-GJ-O1B1-06-TRANSFORMATION_MATRIX,raw_payload,STRING,true
