topic,qos,tagMode,deviceId,field,dataType,monitoring
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-01-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-01-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-01-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-02-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-02-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-02-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-03-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-03-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-03-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-04-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-04-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-04-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-05-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-05-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-05-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-06-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-06-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-06-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-07-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-07-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-07-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-08-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-08-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-08-SEGMENTED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-09-REGISTERED_PCD,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-09-TRANSFORMATION_MATRIX,raw_payload,STRING,true
ot/pipeline/assembly/assembly1/bay7/artifact,1,raw,LDR-GJ-A1B7-09-SEGMENTED_PCD,raw_payload,STRING,true
